PRI Local bodies of Maharashtra (State Code: 27) State,,,,,,,
S.No.,Localbody Type Code,Localbody Type Name,Localbody Code,Localbody Version,Localbody Name (In English),Localbody Name (In Local),Parent Localbody Code
199,2,Block Panchayat,4737,1,Korchi,कोरची,433
200,2,Block Panchayat,4918,2,Koregaon,कोरेगांव,450
201,2,Block Panchayat,4717,1,Korpana,कोरपणा,431
202,2,Block Panchayat,4928,1,Kudal,कुडाळ,451
203,2,Block Panchayat,4804,1,Kuhi,कुही,440
204,2,Block Panchayat,4738,1,Kurkheda,कुरखेडा,433
205,2,Block Panchayat,4691,1,Lakhandur,लाखंदूर,429
206,2,Block Panchayat,4692,1,Lakhani,लाखनी,429
207,2,Block Panchayat,4899,1,Lanja,लांजा,448
208,2,Block Panchayat,4794,1,Latur,लातूर,439
209,2,Block Panchayat,4821,1,Loha,लोहा,441
210,2,Block Panchayat,4851,1,Lohara,लोहारा,444
211,2,Block Panchayat,4702,1,Lonar,लोनार,430
212,2,Block Panchayat,4936,1,Madha,माडा,452
213,2,Block Panchayat,4919,2,Mahabaleshwar,महाबळेश्‍वर,450
214,2,Block Panchayat,4883,1,Mahad,महाड,447
215,2,Block Panchayat,4978,1,Mahagaon,महागाव,456
216,2,Block Panchayat,4822,1,Mahur,माहूर,441
217,2,Block Panchayat,4685,1,Majalgaon,माजलगाव,428
218,2,Block Panchayat,4840,1,Malegaon,मालेगाव,443
219,2,Block Panchayat,4966,1,Malegaon,मालेगाव,455
220,2,Block Panchayat,4703,1,Malkapur,मलकापूर,430
221,2,Block Panchayat,4937,1,Malshiras,माळशिरस,452
222,2,Block Panchayat,4929,1,Malvan,मालवण,451
223,2,Block Panchayat,4920,2,Man,माण,450
224,2,Block Panchayat,4900,1,Mandangad,मंडणगड,448
225,2,Block Panchayat,4938,1,Mangalvedhe,मंगलवेढे,452
226,2,Block Panchayat,4884,1,Mangaon,मानगाव,447
227,2,Block Panchayat,4967,1,Mangrulpir,मांगरूळपिर,455
228,2,Block Panchayat,4968,1,Manora,मनोरा,455
229,2,Block Panchayat,4775,1,Mantha,मंठा,437
230,2,Block Panchayat,4859,1,Manwat,मानवत,445
231,2,Block Panchayat,4979,1,Maregaon,मारेगाव,456
232,2,Block Panchayat,4874,1,Maval,मवाळ,446
233,2,Block Panchayat,4704,1,Mehkar,मेहकर,430
234,2,Block Panchayat,4885,1,Mhasala,म्हासळा,447
235,2,Block Panchayat,4909,1,Miraj,मिरज,449
236,2,Block Panchayat,4823,1,Modkhed,मुदखेड,441
237,2,Block Panchayat,4693,1,Mohadi,मोहाडी,429
238,2,Block Panchayat,4939,1,Mohol,मोहोळ,452
239,2,Block Panchayat,4949,2,Mokhada,मोखाडा,261449
240,2,Block Panchayat,4824,1,Mokhed,मोखेड,441
241,2,Block Panchayat,4666,1,Morshi,मोर्शी,426
242,2,Block Panchayat,4705,1,Motala,मातोळा,430
243,2,Block Panchayat,4805,1,Mouda,मौदा,440
244,2,Block Panchayat,4764,1,Muktainagar,मुक्ताईनगर,436
245,2,Block Panchayat,4718,1,Mul,मुल,431
246,2,Block Panchayat,4739,1,Mulchera,मुलचेरा,433
247,2,Block Panchayat,4875,1,Mulshi,मुळशी,446
248,2,Block Panchayat,4950,2,Murbad,मुरबाड,453
249,2,Block Panchayat,4653,1,Murtijapur,मुर्तिजापूर,425
250,2,Block Panchayat,4886,1,Murud,मुरूड,447
251,2,Block Panchayat,4719,1,Nagbhid,नागभीड,431
252,2,Block Panchayat,4806,1,Nagpur,नागपूर,440
253,2,Block Panchayat,4825,1,Naigaon (Kh),नायगाव (खु),441
254,2,Block Panchayat,4826,1,Nanded,नांदेड,441
255,2,Block Panchayat,4841,1,Nandgaon,नांदगाव,443
256,2,Block Panchayat,4667,1,Nandgaon Kh,नांदगाव खंडेश्वर,426
257,2,Block Panchayat,4706,1,Nandura,नंदूरा,430
258,2,Block Panchayat,4830,1,Nandurbar,नंदूरबार,442
259,2,Block Panchayat,4807,1,Narkhed,नरखेड,440
260,2,Block Panchayat,4842,1,Nashik,नाशिक,443
261,2,Block Panchayat,4831,1,Navapur,नवापूर,442
262,2,Block Panchayat,4980,1,Ner,नेर,456
263,2,Block Panchayat,4640,1,Nevasa,नेवासा,424
264,2,Block Panchayat,4795,1,Nilanga,निलंगा,439
265,2,Block Panchayat,4843,1,Niphad,निफाड,443
266,2,Block Panchayat,4852,1,Omerga,उमरगा,444
267,2,Block Panchayat,4765,1,Pachora,पाचोरा,436
268,2,Block Panchayat,4674,1,Paithan,पैठण,427
269,2,Block Panchayat,4860,1,Palam,पालम,445
270,2,Block Panchayat,4951,2,Palghar,पालघर,261449
271,2,Block Panchayat,4910,1,Palus,पलुस,449
272,2,Block Panchayat,4940,1,Pandharpur,पंढरपूर,452
273,2,Block Panchayat,4785,1,Panhala,पन्हाळा,438
274,2,Block Panchayat,4887,1,Panvel,पनवेल,447
275,2,Block Panchayat,4686,1,Parali V .,परळी वै.,428
276,2,Block Panchayat,4854,1,Paranda,परंडा,444
277,2,Block Panchayat,4861,1,Parbhani,परभणी,445
278,2,Block Panchayat,4641,1,Parner,पारनेर,424
279,2,Block Panchayat,4766,1,Parola,पारोळा,436
280,2,Block Panchayat,4808,1,Parseoni,पारशिवनी,440
281,2,Block Panchayat,4776,1,Partur,परतूर,437
282,2,Block Panchayat,4921,1,Patan,पाटण,450
